BEEID,CONDITION,CNUM,CHOICE
5,CONTROL,25,0
5,CONTROL,26,0
5,CONTROL,27,1
5,CONTROL,28,1
5,CONTROL,29,0
5,CONTROL,30,1
5,CONTROL,31,1
5,CONTROL,32,1
5,CONTROL,33,0
5,CONTROL,34,0
5,CONTROL,35,1
5,CONTROL,36,0
5,CONTROL,37,0
5,CONTROL,38,0
5,CONTROL,39,1
5,CONTROL,40,1
5,CONTROL,41,1
5,CONTROL,42,1
5,CONTROL,43,1
5,CONTROL,44,0
5,CONTROL,45,1
5,CONTROL,46,1
5,CONTROL,47,1
5,CONTROL,48,0
5,CONTROL,49,1
5,CONTROL,50,0
5,CONTROL,51,0
5,CONTROL,52,0
5,CONTROL,53,1
5,CONTROL,54,1
5,CONTROL,55,1
5,CONTROL,56,1
5,CONTROL,57,1
5,CONTROL,58,1
5,CONTROL,59,1
5,CONTROL,60,0
6,CONTROL,1,1
6,CONTROL,2,0
6,CONTROL,3,1
6,CONTROL,4,0
6,CONTROL,5,1
6,CONTROL,6,0
6,CONTROL,7,1
6,CONTROL,8,0
6,CONTROL,9,0
6,CONTROL,10,1
6,CONTROL,11,1
6,CONTROL,12,0
6,CONTROL,13,1
6,CONTROL,14,1
6,CONTROL,15,0
6,CONTROL,16,0
6,CONTROL,17,1
6,CONTROL,18,0
6,CONTROL,19,1
6,CONTROL,20,1
6,CONTROL,21,0
6,CONTROL,22,1
6,CONTROL,23,0
6,CONTROL,24,1
6,CONTROL,25,1
6,CONTROL,26,0
6,CONTROL,27,0
6,CONTROL,28,1
6,CONTROL,29,0
6,CONTROL,30,1
6,CONTROL,31,0
6,CONTROL,32,1
6,CONTROL,33,1
6,CONTROL,34,1
6,CONTROL,35,1
6,CONTROL,36,1
6,CONTROL,37,1
6,CONTROL,38,0
6,CONTROL,39,1
6,CONTROL,40,1
6,CONTROL,41,1
6,CONTROL,42,1
6,CONTROL,43,1
6,CONTROL,44,0
6,CONTROL,45,1
6,CONTROL,46,1
6,CONTROL,47,1
6,CONTROL,48,0
6,CONTROL,49,1
6,CONTROL,50,0
6,CONTROL,51,0
6,CONTROL,52,0
6,CONTROL,53,1
6,CONTROL,54,1
6,CONTROL,55,0
6,CONTROL,56,1
6,CONTROL,57,0
6,CONTROL,58,1
6,CONTROL,59,1
6,CONTROL,60,1
7,CONTROL,1,1
7,CONTROL,2,1
7,CONTROL,3,1
7,CONTROL,4,1
7,CONTROL,5,0
7,CONTROL,6,1
7,CONTROL,7,0
7,CONTROL,8,1
7,CONTROL,9,0
7,CONTROL,10,1
7,CONTROL,11,1
7,CONTROL,12,0
7,CONTROL,13,1
7,CONTROL,14,1
7,CONTROL,15,1
7,CONTROL,16,1
7,CONTROL,17,0
7,CONTROL,18,0
7,CONTROL,19,1
7,CONTROL,20,0
7,CONTROL,21,1
7,CONTROL,22,0
7,CONTROL,23,1
7,CONTROL,24,0
7,CONTROL,25,1
7,CONTROL,26,0
7,CONTROL,27,0
7,CONTROL,28,0
7,CONTROL,29,0
7,CONTROL,30,1
7,CONTROL,31,0
7,CONTROL,32,0
7,CONTROL,33,0
7,CONTROL,34,1
7,CONTROL,35,1
7,CONTROL,36,0
7,CONTROL,37,1
7,CONTROL,38,0
7,CONTROL,39,1
7,CONTROL,40,0
7,CONTROL,41,1
7,CONTROL,42,0
7,CONTROL,43,1
7,CONTROL,44,0
7,CONTROL,45,1
7,CONTROL,46,1
7,CONTROL,47,0
7,CONTROL,48,0
7,CONTROL,49,1
7,CONTROL,50,0
7,CONTROL,51,1
7,CONTROL,52,0
7,CONTROL,53,1
7,CONTROL,54,0
7,CONTROL,55,1
7,CONTROL,56,1
7,CONTROL,57,0
7,CONTROL,58,1
7,CONTROL,59,0
7,CONTROL,60,1
8,CONTROL,1,1
8,CONTROL,2,1
8,CONTROL,3,0
8,CONTROL,4,1
8,CONTROL,5,0
8,CONTROL,6,0
8,CONTROL,7,1
8,CONTROL,8,1
8,CONTROL,9,0
8,CONTROL,10,1
8,CONTROL,11,0
8,CONTROL,12,0
8,CONTROL,13,1
8,CONTROL,14,0
8,CONTROL,15,1
8,CONTROL,16,1
8,CONTROL,17,0
8,CONTROL,18,1
8,CONTROL,19,0
8,CONTROL,20,0
8,CONTROL,21,0
8,CONTROL,22,1
8,CONTROL,23,1
8,CONTROL,24,1
8,CONTROL,25,1
8,CONTROL,26,0
8,CONTROL,27,1
8,CONTROL,28,0
8,CONTROL,29,0
8,CONTROL,30,0
8,CONTROL,31,0
8,CONTROL,32,1
8,CONTROL,33,0
8,CONTROL,34,1
8,CONTROL,35,1
8,CONTROL,36,1
8,CONTROL,37,0
8,CONTROL,38,0
8,CONTROL,39,0
8,CONTROL,40,0
8,CONTROL,41,1
8,CONTROL,42,0
8,CONTROL,43,1
8,CONTROL,44,1
8,CONTROL,45,0
8,CONTROL,46,1
8,CONTROL,47,0
8,CONTROL,48,1
8,CONTROL,49,0
8,CONTROL,50,1
8,CONTROL,51,0
8,CONTROL,52,0
8,CONTROL,53,0
8,CONTROL,54,1
8,CONTROL,55,1
8,CONTROL,56,1
8,CONTROL,57,1
8,CONTROL,58,1
8,CONTROL,59,1
8,CONTROL,60,1
9,CONTROL,1,1
9,CONTROL,2,0
9,CONTROL,3,0
9,CONTROL,4,1
9,CONTROL,5,0
9,CONTROL,6,0
9,CONTROL,7,0
9,CONTROL,8,1
9,CONTROL,9,0
9,CONTROL,10,1
9,CONTROL,11,1
9,CONTROL,12,1
9,CONTROL,13,0
9,CONTROL,14,0
9,CONTROL,15,0
9,CONTROL,16,0
9,CONTROL,17,1
9,CONTROL,18,1
9,CONTROL,19,0
9,CONTROL,20,0
9,CONTROL,21,0
9,CONTROL,22,0
9,CONTROL,23,1
9,CONTROL,24,1
9,CONTROL,25,1
9,CONTROL,26,1
9,CONTROL,27,1
9,CONTROL,28,0
9,CONTROL,29,0
9,CONTROL,30,1
9,CONTROL,31,0
9,CONTROL,32,1
9,CONTROL,33,1
9,CONTROL,34,1
9,CONTROL,35,0
9,CONTROL,36,0
9,CONTROL,37,1
9,CONTROL,38,0
9,CONTROL,39,0
9,CONTROL,40,1
9,CONTROL,41,1
9,CONTROL,42,1
9,CONTROL,43,1
9,CONTROL,44,1
9,CONTROL,45,1
9,CONTROL,46,1
9,CONTROL,47,1
9,CONTROL,48,1
9,CONTROL,49,1
9,CONTROL,50,1
9,CONTROL,51,1
9,CONTROL,52,1
9,CONTROL,53,1
9,CONTROL,54,1
9,CONTROL,55,1
9,CONTROL,56,1
9,CONTROL,57,0
9,CONTROL,58,1
9,CONTROL,59,1
9,CONTROL,60,1
10,CONTROL,1,0
10,CONTROL,2,1
10,CONTROL,3,0
10,CONTROL,4,0
10,CONTROL,5,1
10,CONTROL,6,0
10,CONTROL,7,0
10,CONTROL,8,1
10,CONTROL,9,0
10,CONTROL,10,0
10,CONTROL,11,0
10,CONTROL,12,1
10,CONTROL,13,1
10,CONTROL,14,0
10,CONTROL,15,1
10,CONTROL,16,0
10,CONTROL,17,1
10,CONTROL,18,0
10,CONTROL,19,0
10,CONTROL,20,1
10,CONTROL,21,1
10,CONTROL,22,0
10,CONTROL,23,1
10,CONTROL,24,1
10,CONTROL,25,0
10,CONTROL,26,1
10,CONTROL,27,1
10,CONTROL,28,1
10,CONTROL,29,0
10,CONTROL,30,0
10,CONTROL,31,1
10,CONTROL,32,1
10,CONTROL,33,0
10,CONTROL,34,1
10,CONTROL,35,0
10,CONTROL,36,1
10,CONTROL,37,0
10,CONTROL,38,1
10,CONTROL,39,1
10,CONTROL,40,1
10,CONTROL,41,0
10,CONTROL,42,1
10,CONTROL,43,1
10,CONTROL,44,1
10,CONTROL,45,1
10,CONTROL,46,1
10,CONTROL,47,1
10,CONTROL,48,1
10,CONTROL,49,1
10,CONTROL,50,1
10,CONTROL,51,1
10,CONTROL,52,1
10,CONTROL,53,1
10,CONTROL,54,1
10,CONTROL,55,0
10,CONTROL,56,1
10,CONTROL,57,1
10,CONTROL,58,1
10,CONTROL,59,1
10,CONTROL,60,1
11,CONTROL,1,1
11,CONTROL,2,1
11,CONTROL,3,1
11,CONTROL,4,1
11,CONTROL,5,1
11,CONTROL,6,0
11,CONTROL,7,1
11,CONTROL,8,1
11,CONTROL,9,1
11,CONTROL,10,0
11,CONTROL,11,0
11,CONTROL,12,1
11,CONTROL,13,0
11,CONTROL,14,0
11,CONTROL,15,0
11,CONTROL,16,1
11,CONTROL,17,0
11,CONTROL,18,1
11,CONTROL,19,0
11,CONTROL,20,0
11,CONTROL,21,1
11,CONTROL,22,1
11,CONTROL,23,0
11,CONTROL,24,1
11,CONTROL,25,0
11,CONTROL,26,0
11,CONTROL,27,0
11,CONTROL,28,1
11,CONTROL,29,0
11,CONTROL,30,1
11,CONTROL,31,1
11,CONTROL,32,0
11,CONTROL,33,1
11,CONTROL,34,0
11,CONTROL,35,0
11,CONTROL,36,1
11,CONTROL,37,0
11,CONTROL,38,0
11,CONTROL,39,1
11,CONTROL,40,1
11,CONTROL,41,1
11,CONTROL,42,1
11,CONTROL,43,0
11,CONTROL,44,1
11,CONTROL,45,0
11,CONTROL,46,1
11,CONTROL,47,1
11,CONTROL,48,0
11,CONTROL,49,0
11,CONTROL,50,1
11,CONTROL,51,0
11,CONTROL,52,1
11,CONTROL,53,1
11,CONTROL,54,1
11,CONTROL,55,0
11,CONTROL,56,0
11,CONTROL,57,1
11,CONTROL,58,0
11,CONTROL,59,1
11,CONTROL,60,1
12,CONTROL,1,0
12,CONTROL,2,1
12,CONTROL,3,1
12,CONTROL,4,0
12,CONTROL,5,1
12,CONTROL,6,0
12,CONTROL,7,1
12,CONTROL,8,0
12,CONTROL,9,1
12,CONTROL,10,0
12,CONTROL,11,0
12,CONTROL,12,1
12,CONTROL,13,1
12,CONTROL,14,1
12,CONTROL,15,1
12,CONTROL,16,1
12,CONTROL,17,0
12,CONTROL,18,1
12,CONTROL,19,1
12,CONTROL,20,1
12,CONTROL,21,1
12,CONTROL,22,1
12,CONTROL,23,0
12,CONTROL,24,0
12,CONTROL,25,1
12,CONTROL,26,0
12,CONTROL,27,1
12,CONTROL,28,0
12,CONTROL,29,1
12,CONTROL,30,1
12,CONTROL,31,1
12,CONTROL,32,0
12,CONTROL,33,1
12,CONTROL,34,1
12,CONTROL,35,1
12,CONTROL,36,1
12,CONTROL,37,1
12,CONTROL,38,0
12,CONTROL,39,1
12,CONTROL,40,0
12,CONTROL,41,1
12,CONTROL,42,1
12,CONTROL,43,1
12,CONTROL,44,1
12,CONTROL,45,1
12,CONTROL,46,0
12,CONTROL,47,1
12,CONTROL,48,0
12,CONTROL,49,1
12,CONTROL,50,1
12,CONTROL,51,0
12,CONTROL,52,1
12,CONTROL,53,1
12,CONTROL,54,0
12,CONTROL,55,1
12,CONTROL,56,1
12,CONTROL,57,1
12,CONTROL,58,0
12,CONTROL,59,1
12,CONTROL,60,0
13,CONTROL,1,1
13,CONTROL,2,1
13,CONTROL,3,1
13,CONTROL,4,0
13,CONTROL,5,1
13,CONTROL,6,0
13,CONTROL,7,0
13,CONTROL,8,1
13,CONTROL,9,0
13,CONTROL,10,0
13,CONTROL,11,0
13,CONTROL,12,0
13,CONTROL,13,0
13,CONTROL,14,1
13,CONTROL,15,1
13,CONTROL,16,1
13,CONTROL,17,1
13,CONTROL,18,0
13,CONTROL,19,0
13,CONTROL,20,1
13,CONTROL,21,1
13,CONTROL,22,1
13,CONTROL,23,0
13,CONTROL,24,0
13,CONTROL,25,0
13,CONTROL,26,0
13,CONTROL,27,0
13,CONTROL,28,0
13,CONTROL,29,0
13,CONTROL,30,0
13,CONTROL,31,1
13,CONTROL,32,0
13,CONTROL,33,1
13,CONTROL,34,0
13,CONTROL,35,1
13,CONTROL,36,0
13,CONTROL,37,1
13,CONTROL,38,0
13,CONTROL,39,1
13,CONTROL,40,1
13,CONTROL,41,0
13,CONTROL,42,1
13,CONTROL,43,1
13,CONTROL,44,0
13,CONTROL,45,1
13,CONTROL,46,1
13,CONTROL,47,0
13,CONTROL,48,1
13,CONTROL,49,0
13,CONTROL,50,1
13,CONTROL,51,1
13,CONTROL,52,1
13,CONTROL,53,1
13,CONTROL,54,1
13,CONTROL,55,0
13,CONTROL,56,1
13,CONTROL,57,1
13,CONTROL,58,1
13,CONTROL,59,1
13,CONTROL,60,0
14,CONTROL,1,0
14,CONTROL,2,0
14,CONTROL,3,0
14,CONTROL,4,0
14,CONTROL,5,0
14,CONTROL,6,1
14,CONTROL,7,0
14,CONTROL,8,0
14,CONTROL,9,0
14,CONTROL,10,0
14,CONTROL,11,1
14,CONTROL,12,1
14,CONTROL,13,0
14,CONTROL,14,1
14,CONTROL,15,0
14,CONTROL,16,1
14,CONTROL,17,0
14,CONTROL,18,1
14,CONTROL,19,1
14,CONTROL,20,1
14,CONTROL,21,1
14,CONTROL,22,1
14,CONTROL,23,1
14,CONTROL,24,1
14,CONTROL,25,1
14,CONTROL,26,1
14,CONTROL,27,1
14,CONTROL,28,1
14,CONTROL,29,1
14,CONTROL,30,0
14,CONTROL,31,0
14,CONTROL,32,1
14,CONTROL,33,1
14,CONTROL,34,0
14,CONTROL,35,1
14,CONTROL,36,1
14,CONTROL,37,1
14,CONTROL,38,0
14,CONTROL,39,0
14,CONTROL,40,1
14,CONTROL,41,0
14,CONTROL,42,1
14,CONTROL,43,1
14,CONTROL,44,1
14,CONTROL,45,0
14,CONTROL,46,0
14,CONTROL,47,1
14,CONTROL,48,1
14,CONTROL,49,1
14,CONTROL,50,1
14,CONTROL,51,1
14,CONTROL,52,1
14,CONTROL,53,0
14,CONTROL,54,0
14,CONTROL,55,1
14,CONTROL,56,0
14,CONTROL,57,1
14,CONTROL,58,1
14,CONTROL,59,1
14,CONTROL,60,1
15,SPEAKER_DISCRETE,1,1
15,SPEAKER_DISCRETE,2,0
15,SPEAKER_DISCRETE,3,0
15,SPEAKER_DISCRETE,4,1
15,SPEAKER_DISCRETE,5,0
15,SPEAKER_DISCRETE,6,0
15,SPEAKER_DISCRETE,7,1
15,SPEAKER_DISCRETE,8,0
15,SPEAKER_DISCRETE,9,1
15,SPEAKER_DISCRETE,10,0
15,SPEAKER_DISCRETE,11,1
15,SPEAKER_DISCRETE,12,1
15,SPEAKER_DISCRETE,13,0
15,SPEAKER_DISCRETE,14,1
15,SPEAKER_DISCRETE,15,0
15,SPEAKER_DISCRETE,16,1
15,SPEAKER_DISCRETE,17,1
15,SPEAKER_DISCRETE,18,1
15,SPEAKER_DISCRETE,19,0
15,SPEAKER_DISCRETE,20,1
15,SPEAKER_DISCRETE,21,1
15,SPEAKER_DISCRETE,22,0
15,SPEAKER_DISCRETE,23,0
15,SPEAKER_DISCRETE,24,0
15,SPEAKER_DISCRETE,25,1
15,SPEAKER_DISCRETE,26,1
15,SPEAKER_DISCRETE,27,0
15,SPEAKER_DISCRETE,28,0
15,SPEAKER_DISCRETE,29,1
15,SPEAKER_DISCRETE,30,1
15,SPEAKER_DISCRETE,31,0
15,SPEAKER_DISCRETE,32,0
15,SPEAKER_DISCRETE,33,1
15,SPEAKER_DISCRETE,34,0
15,SPEAKER_DISCRETE,35,0
15,SPEAKER_DISCRETE,36,1
15,SPEAKER_DISCRETE,37,1
15,SPEAKER_DISCRETE,38,0
15,SPEAKER_DISCRETE,39,1
15,SPEAKER_DISCRETE,40,1
15,SPEAKER_DISCRETE,41,0
15,SPEAKER_DISCRETE,42,0
15,SPEAKER_DISCRETE,43,1
15,SPEAKER_DISCRETE,44,0
15,SPEAKER_DISCRETE,45,1
15,SPEAKER_DISCRETE,46,0
15,SPEAKER_DISCRETE,47,0
15,SPEAKER_DISCRETE,48,1
15,SPEAKER_DISCRETE,49,0
15,SPEAKER_DISCRETE,50,1
15,SPEAKER_DISCRETE,51,0
15,SPEAKER_DISCRETE,52,1
15,SPEAKER_DISCRETE,53,1
15,SPEAKER_DISCRETE,54,0
15,SPEAKER_DISCRETE,55,0
15,SPEAKER_DISCRETE,56,1
15,SPEAKER_DISCRETE,57,0
15,SPEAKER_DISCRETE,58,1
15,SPEAKER_DISCRETE,59,1
15,SPEAKER_DISCRETE,60,1
15,SPEAKER_DISCRETE,61,0
15,SPEAKER_DISCRETE,62,1
15,SPEAKER_DISCRETE,63,1
15,SPEAKER_DISCRETE,64,0
15,SPEAKER_DISCRETE,65,1
15,SPEAKER_DISCRETE,66,1
15,SPEAKER_DISCRETE,67,1
15,SPEAKER_DISCRETE,68,0
15,SPEAKER_DISCRETE,69,0
15,SPEAKER_DISCRETE,70,1
15,SPEAKER_DISCRETE,71,0
15,SPEAKER_DISCRETE,72,1
15,SPEAKER_DISCRETE,73,0
15,SPEAKER_DISCRETE,74,0
15,SPEAKER_DISCRETE,75,0
15,SPEAKER_DISCRETE,76,1
15,SPEAKER_DISCRETE,77,1
15,SPEAKER_DISCRETE,78,0
15,SPEAKER_DISCRETE,79,0
15,SPEAKER_DISCRETE,80,1
15,SPEAKER_DISCRETE,81,0
15,SPEAKER_DISCRETE,82,1
15,SPEAKER_DISCRETE,83,0
15,SPEAKER_DISCRETE,84,1
15,SPEAKER_DISCRETE,85,1
15,SPEAKER_DISCRETE,86,0
15,SPEAKER_DISCRETE,87,1
15,SPEAKER_DISCRETE,88,1
15,SPEAKER_DISCRETE,89,0
15,SPEAKER_DISCRETE,90,1
15,SPEAKER_DISCRETE,91,1
15,SPEAKER_DISCRETE,92,1
15,SPEAKER_DISCRETE,93,0
15,SPEAKER_DISCRETE,94,1
15,SPEAKER_DISCRETE,95,1
15,SPEAKER_DISCRETE,96,1
15,SPEAKER_DISCRETE,97,1
15,SPEAKER_DISCRETE,98,0
15,SPEAKER_DISCRETE,99,0
15,SPEAKER_DISCRETE,100,0
16,SPEAKER_DISCRETE,1,0
16,SPEAKER_DISCRETE,2,0
16,SPEAKER_DISCRETE,3,1
16,SPEAKER_DISCRETE,4,1
16,SPEAKER_DISCRETE,5,1
16,SPEAKER_DISCRETE,6,0
16,SPEAKER_DISCRETE,7,1
16,SPEAKER_DISCRETE,8,0
16,SPEAKER_DISCRETE,9,0
16,SPEAKER_DISCRETE,10,0
16,SPEAKER_DISCRETE,11,1
16,SPEAKER_DISCRETE,12,1
16,SPEAKER_DISCRETE,13,0
16,SPEAKER_DISCRETE,14,0
16,SPEAKER_DISCRETE,15,0
16,SPEAKER_DISCRETE,16,1
16,SPEAKER_DISCRETE,17,1
16,SPEAKER_DISCRETE,18,1
16,SPEAKER_DISCRETE,19,1
16,SPEAKER_DISCRETE,20,0
16,SPEAKER_DISCRETE,21,0
16,SPEAKER_DISCRETE,22,1
16,SPEAKER_DISCRETE,23,1
16,SPEAKER_DISCRETE,24,0
16,SPEAKER_DISCRETE,25,1
16,SPEAKER_DISCRETE,26,1
16,SPEAKER_DISCRETE,27,1
16,SPEAKER_DISCRETE,28,0
16,SPEAKER_DISCRETE,29,1
16,SPEAKER_DISCRETE,30,1
16,SPEAKER_DISCRETE,31,1
16,SPEAKER_DISCRETE,32,0
16,SPEAKER_DISCRETE,33,1
16,SPEAKER_DISCRETE,34,0
16,SPEAKER_DISCRETE,35,0
16,SPEAKER_DISCRETE,36,1
16,SPEAKER_DISCRETE,37,1
16,SPEAKER_DISCRETE,38,0
16,SPEAKER_DISCRETE,39,0
16,SPEAKER_DISCRETE,40,1
16,SPEAKER_DISCRETE,41,1
16,SPEAKER_DISCRETE,42,0
16,SPEAKER_DISCRETE,43,0
16,SPEAKER_DISCRETE,44,0
16,SPEAKER_DISCRETE,45,0
16,SPEAKER_DISCRETE,46,1
16,SPEAKER_DISCRETE,47,1
16,SPEAKER_DISCRETE,48,0
16,SPEAKER_DISCRETE,49,1
16,SPEAKER_DISCRETE,50,1
16,SPEAKER_DISCRETE,51,0
16,SPEAKER_DISCRETE,52,1
16,SPEAKER_DISCRETE,53,0
16,SPEAKER_DISCRETE,54,1
16,SPEAKER_DISCRETE,55,0
16,SPEAKER_DISCRETE,56,1
16,SPEAKER_DISCRETE,57,0
16,SPEAKER_DISCRETE,58,0
16,SPEAKER_DISCRETE,59,1
16,SPEAKER_DISCRETE,60,1
16,SPEAKER_DISCRETE,61,1
16,SPEAKER_DISCRETE,62,1
16,SPEAKER_DISCRETE,63,0
16,SPEAKER_DISCRETE,64,1
16,SPEAKER_DISCRETE,65,1
16,SPEAKER_DISCRETE,66,1
16,SPEAKER_DISCRETE,67,0
16,SPEAKER_DISCRETE,68,1
16,SPEAKER_DISCRETE,69,0
16,SPEAKER_DISCRETE,70,0
16,SPEAKER_DISCRETE,71,0
16,SPEAKER_DISCRETE,72,1
16,SPEAKER_DISCRETE,73,0
16,SPEAKER_DISCRETE,74,0
16,SPEAKER_DISCRETE,75,0
16,SPEAKER_DISCRETE,76,0
16,SPEAKER_DISCRETE,77,0
16,SPEAKER_DISCRETE,78,1
16,SPEAKER_DISCRETE,79,1
16,SPEAKER_DISCRETE,80,0
16,SPEAKER_DISCRETE,81,1
16,SPEAKER_DISCRETE,82,1
16,SPEAKER_DISCRETE,83,0
16,SPEAKER_DISCRETE,84,1
16,SPEAKER_DISCRETE,85,0
16,SPEAKER_DISCRETE,86,1
16,SPEAKER_DISCRETE,87,0
16,SPEAKER_DISCRETE,88,1
16,SPEAKER_DISCRETE,89,0
16,SPEAKER_DISCRETE,90,0
16,SPEAKER_DISCRETE,91,1
16,SPEAKER_DISCRETE,92,1
16,SPEAKER_DISCRETE,93,1
